datum;pegel;wasserstand
2020-03-01 17:20:24;Ahlden;373
2020-03-01 17:20:24;Rethem;391
2020-03-01 17:20:24;Eitze;535
2020-03-01 18:20:36;Grafhorst;99 
2020-03-01 18:20:36;Brenneckenbrück;265
2020-03-01 18:20:36;Langlingen;396
2020-03-01 18:20:36;Celle;336
2020-03-01 18:20:36;Marklendorf;275
2020-03-01 18:20:36;Ahlden;373
2020-03-01 18:20:36;Rethem;391
2020-03-01 18:20:36;Eitze;535
2020-03-01 19:20:41;Grafhorst;98 
2020-03-01 19:20:41;Brenneckenbrück;265
2020-03-01 19:20:41;Langlingen;396
2020-03-01 19:20:41;Celle;336
2020-03-01 19:20:41;Marklendorf;276
2020-03-01 19:20:41;Ahlden;373
2020-03-01 19:20:41;Rethem;391
2020-03-01 19:20:41;Eitze;535
2020-03-01 20:20:51;Grafhorst;98 
2020-03-01 20:20:51;Brenneckenbrück;265
2020-03-01 20:20:51;Langlingen;396
2020-03-01 20:20:51;Celle;336
2020-03-01 20:20:51;Marklendorf;276
2020-03-01 20:20:51;Ahlden;373
2020-03-01 20:20:51;Rethem;391
2020-03-01 20:20:51;Eitze;535
2020-03-01 21:21:01;Grafhorst;97 
2020-03-01 21:21:01;Brenneckenbrück;264
2020-03-01 21:21:01;Langlingen;395
2020-03-01 21:21:01;Celle;335
2020-03-01 21:21:01;Marklendorf;276
2020-03-01 21:21:01;Ahlden;372
2020-03-01 21:21:01;Rethem;390
2020-03-01 21:21:01;Eitze;535
2020-03-01 22:21:11;Grafhorst;97 
2020-03-01 22:21:11;Brenneckenbrück;264
2020-03-01 22:21:11;Langlingen;395
2020-03-01 22:21:11;Celle;335
2020-03-01 22:21:11;Marklendorf;276
2020-03-01 22:21:11;Ahlden;372
2020-03-01 22:21:11;Rethem;390
2020-03-01 22:21:11;Eitze;535
2020-03-01 23:21:18;Grafhorst;96 
2020-03-01 23:21:18;Brenneckenbrück;263
2020-03-01 23:21:18;Langlingen;395
2020-03-01 23:21:18;Celle;335
2020-03-01 23:21:18;Marklendorf;276
2020-03-01 23:21:18;Ahlden;372
2020-03-01 23:21:18;Rethem;390
2020-03-01 23:21:18;Eitze;535
2020-03-02 00:21:28;Grafhorst;96 
2020-03-02 00:21:28;Brenneckenbrück;263
2020-03-02 00:21:28;Langlingen;395
2020-03-02 00:21:28;Celle;335
2020-03-02 00:21:28;Marklendorf;276
2020-03-02 00:21:28;Ahlden;372
2020-03-02 00:21:28;Rethem;390
2020-03-02 00:21:28;Eitze;534
2020-03-02 01:21:35;Grafhorst;96 
2020-03-02 01:21:35;Brenneckenbrück;263
2020-03-02 01:21:35;Langlingen;395
2020-03-02 01:21:35;Celle;334
2020-03-02 01:21:35;Marklendorf;276
2020-03-02 01:21:35;Ahlden;372
2020-03-02 01:21:35;Rethem;390
2020-03-02 01:21:35;Eitze;534
2020-03-02 02:21:44;Grafhorst;95 
2020-03-02 02:21:44;Brenneckenbrück;262
2020-03-02 02:21:44;Langlingen;395
2020-03-02 02:21:44;Celle;334
2020-03-02 02:21:44;Marklendorf;276
2020-03-02 02:21:44;Ahlden;372
2020-03-02 02:21:44;Rethem;390
2020-03-02 02:21:44;Eitze;534
2020-03-02 03:21:52;Grafhorst;95 
2020-03-02 03:21:52;Brenneckenbrück;262
2020-03-02 03:21:52;Langlingen;395
2020-03-02 03:21:52;Celle;334
2020-03-02 03:21:52;Marklendorf;276
2020-03-02 03:21:52;Ahlden;371
2020-03-02 03:21:52;Rethem;390
