['63 ', '151', '356', '178', '124', '132', '166', '319']
['64 ', '151', '355', '178', '129', '132', '166', '319']
['64 ', '151', '355', '178', '127', '132', '166', '318']
['64 ', '152', '356', '178', '128', '132', '166', '318']
['64 ', '152', '356', '178', '129', '132', '166', '318']
['64 ', '152', '356', '178', '128', '132', '166', '318']
['64 ', '153', '356', '178', '128', '132', '166', '318']
['64 ', '153', '356', '178', '128', '132', '166', '318']
['64 ', '154', '356', '178', '129', '131', '166', '318']
['63 ', '155', '356', '178', '129', '131', '166', '318']
['63 ', '155', '356', '178', '129', '131', '166', '318']
['63 ', '155', '356', '178', '128', '131', '166', '318']
['63 ', '155', '356', '178', '128', '131', '166', '318']
['63 ', '156', '357', '178', '128', '131', '166', '318']
['63 ', '156', '357', '178', '128', '131', '166', '318']
['63 ', '156', '356', '178', '128', '131', '166', '318']
['63 ', '156', '356', '178', '129', '132', '165', '317']
['63 ', '156', '356', '178', '130', '132', '166', '317']
['63 ', '156', '356', '178', '129', '132', '166', '317']
['63 ', '156', '357', '178', '130', '132', '166', '317']
['63 ', '156', '357', '179', '130', '133', '166', '317']
['63 ', '156', '357', '179', '130', '133', '166', '317']
['63 ', '156', '358', '179', '131', '133', '166', '317']
['63 ', '156', '357', '180', '131', '134', '166', '317']
['63 ', '156', '357', '180', '131', '134', '166', '316']
['63 ', '156', '357', '180', '131', '134', '166', '317']
['62 ', '155', '358', '180', '131', '134', '166', '317']
['62 ', '155', '359', '180', '132', '135', '167', '317']
['62 ', '155', '359', '180', '136', '135', '167', '318']
['62 ', '154', '358', '180', '134', '135', '167', '317']
['62 ', '154', '358', '180', '136', '135', '168', '316']
['63 ', '154', '359', '180', '136', '136', '168', '318']
['63 ', '154', '359', '180', '135', '136', '168', '318']
['63 ', '154', '358', '180', '136', '136', '168', '318']
['63 ', '154', '358', '180', '136', '136', '169', '318']
['62 ', '154', '358', '180', '135', '136', '168', '318']
['62 ', '153', '359', '180', '135', '136', '169', '318']
['62 ', '154', '359', '180', '135', '136', '169', '318']
['62 ', '153', '359', '180', '135', '136', '169', '319']
['62 ', '153', '359', '180', '136', '136', '169', '319']
['62 ', '153', '359', '180', '136', '135', '169', '319']
['62 ', '152', '359', '180', '136', '135', '169', '319']
['62 ', '152', '359', '180', '135', '135', '169', '319']
['62 ', '152', '359', '180', '135', '135', '169', '319']
['62 ', '152', '359', '180', '136', '135', '169', '319']
['62 ', '152', '359', '180', '135', '135', '169', '319']
['62 ', '152', '359', '180', '133', '134', '168', '320']
['62 ', '152', '358', '180', '141', '133', '168', '320']
['62 ', '152', '358', '180', '135', '133', '168', '320']
